neighbourhood,n,no_show_rate
JARDIM CAMBURI,7717,0.18984061163664637
MARIA ORTIZ,5805,0.20999138673557277
RESISTÊNCIA,4430,0.20428893905191872
JARDIM DA PENHA,3877,0.16275470724787205
ITARARÉ,3514,0.2626636311895276
CENTRO,3334,0.21085782843431314
TABUAZEIRO,3131,0.18268923666560205
SANTA MARTHA,3131,0.15841584158415842
JESUS DE NAZARETH,2853,0.24395373291272346
BONFIM,2773,0.1983411467724486
SANTO ANTÔNIO,2744,0.17565597667638483
SANTO ANDRÉ,2571,0.19758848697005058
CARATOÍRA,2565,0.2304093567251462
JABOUR,2509,0.17975288959744917
SÃO PEDRO,2448,0.21037581699346405
