metric,point_estimate,ci95_low,ci95_high
pr_auc,0.2078325210559714,0.19113248772172128,0.22698536520527357
roc_auc,0.6666140354981995,0.6535548747452269,0.6809075452684696
brier,0.09134823864273871,0.08799858779279765,0.09443362907459356
logloss,0.3211129468363118,0.31177757711755855,0.3298166215548289
prec_top_1,0.36318407960199006,0.29773163883552534,0.4461739949748743
prec_top_5,0.3018867924528302,0.26774966972385694,0.33795440744368266
prec_top_10,0.2491315136476427,0.2268276236911399,0.2739632234385737
prec_top_20,0.20570719602977666,0.19038079857404963,0.22153781980492326
captured_top_1,73.0,60.0,89.52499999999998
captured_top_5,304.0,269.475,341.525
captured_top_10,502.0,457.0,552.525
captured_top_20,829.0,764.475,895.525
